geoname_id,name,ascii_name,feature_class,feature_code,population,admin1_code,admin2_code,latitude,longitude
3100266,Dobrzyń nad Wisłą,Dobrzyn nad Wisla,P,PPLA3,2268,73,0408,52.63814,19.31875
753053,Żurawiczki,Zurawiczki,P,PPL,1247,80,1814,50.0137,22.49949
753531,Zbuczyn,Zbuczyn,P,PPLA3,1836,78,1426,52.08974,22.43829
755919,Wieczfnia Kościelna,Wieczfnia Koscielna,P,PPLA3,337,78,1413,53.19534,20.47637
756748,Tryńcza,Tryncza,P,PPLA3,1325,80,1814,50.16087,22.55008
758651,Sokółka,Sokolka,P,PPLA3,19079,81,2011,53.40715,23.50228
759064,Skórzec,Skorzec,P,PPLA3,969,78,1426,52.10727,22.13052
759579,Sarnaki,Sarnaki,P,PPL,1194,78,1410,52.31504,22.89044
760084,Rudka,Rudka,P,PPL,1400,81,2003,52.72439,22.72676
761331,Pozezdrze,Pozezdrze,P,PPL,1320,85,2819,54.14147,21.8597
762126,Piskorowice,Piskorowice,P,PPL,1116,80,1808,50.23579,22.52867
762331,Piekoszów,Piekoszow,P,PPLA3,2671,84,2604,50.88035,20.46418
762788,Otwock,Otwock,P,PPLA3,43388,78,1417,52.10577,21.26129
3100417,Dłutów,Dlutow,P,PPLA3,1000,74,1008,51.55936,19.39198
3101201,Czapury,Czapury,P,PPL,1256,86,3021,52.31719,16.91268
3101695,Chocz,Chocz,P,PPLA3,1700,86,3020,51.97642,17.86995
3102252,Buczkowice,Buczkowice,P,PPL,4102,83,2402,49.72858,19.06908
3102374,Brzeźnica,Brzeznica,P,PPL,1281,77,1218,49.96497,19.61952
3102956,Boniewo,Boniewo,P,PPLA3,700,73,0418,52.46532,18.89116
3103364,Bierutów,Bierutow,P,PPLA3,5065,72,0214,51.12443,17.54607
3103432,Bielice,Bielice,P,PPLA3,560,87,3212,53.20022,14.7276
3103556,Białogard,Bialogard,P,PPL,24368,87,3201,54.00696,15.98751
12047639,Stabłowice,Stablowice,P,PPLX,14099,72,0264,51.15375,16.9002
752968,Żyraków,Zyrakow,P,PPLA3,1400,80,1803,50.08545,21.39622
753004,Zwoleń,Zwolen,P,PPLA2,8048,78,1436,51.35542,21.58768
753885,Zamch,Zamch,P,PPL,1500,75,0602,50.31713,23.02786
755369,Wojsławice,Wojslawice,P,PPL,1600,75,0603,50.91916,23.54602
756092,Wawer,Wawer,P,PPL,77205,78,1465,52.19656,21.17752
756532,Turze Pole,Turze Pole,P,PPL,1040,80,1802,49.66329,22.00476
757386,Szczuczyn,Szczuczyn,P,PPLA3,3552,81,2004,53.5633,22.28534
757886,Suchedniów,Suchedniow,P,PPLA3,9184,84,2610,51.04776,20.82922
758162,Stoczek,Stoczek,P,PPLA3,890,78,1433,52.54332,21.90013
758252,Staszów,Staszow,P,PPLA2,16137,84,2612,50.56307,21.16593
758682,Sochaczew,Sochaczew,P,PPLA2,38267,78,1428,52.22944,20.23838
760054,Rudnik,Rudnik,P,PPLA3,543,75,0606,50.88035,22.97293
760527,Regnów,Regnow,P,PPLA3,340,74,1013,51.7485,20.38711
763401,Odrzykoń,Odrzykon,P,PPL,2950,80,1807,49.74057,21.74074
763454,Obryte,Obryte,P,PPLA3,930,78,1424,52.71633,21.24945
